"congressperson_name","value"
"ABEL MESQUITA JR.",485665.8899999999
"ABELARDO CAMARINHA",33359.64
"ABELARDO LUPION",32848.850000000006
"ACELINO POPÓ",34240.14000000001
"ADAIL CARNEIRO",389370.95999999985
"ADALBERTO CAVALCANTI",447232.4800000002
"ADELMO CARNEIRO LEÃO",386694.9699999999
"ADELSON BARRETO",273716.2699999999
"ADEMIR CAMILO",410364.7400000001
"ADILTON SACHETTI",277747.62
"ADRIAN",6128.61
"AELTON FREITAS",433155.3799999999
"AFONSO FLORENCE",454824.4999999999
"AFONSO HAMM",417132.91000000003
"AFONSO MOTTA",450395.30000000016
"AGUINALDO RIBEIRO",468910.63999999996
"AKIRA OTSUBO",36775.27
"ALAN RICK",465804.01
"ALBERTO FILHO",404339.8699999997
"ALBERTO FRAGA",339944.97000000003
"ALCEU MOREIRA",468892.4799999998
"ALESSANDRO MOLON",402519.27
"ALEX CANZIANI",417170.12999999995
"ALEX MANENTE",405018.71999999875
"ALEXANDRE BALDY",375115.19999999984
"ALEXANDRE LEITE",248117.60000000003
"ALEXANDRE ROSO",19053.46
"ALEXANDRE SANTOS",12907.29
"ALEXANDRE SERFIOTIS",273963.32000000007
"ALEXANDRE SILVEIRA",24675.280000000002
"ALEXANDRE TOLEDO",36699.09
"ALEXANDRE VALLE",389949.43999999994
"ALFREDO KAEFER",455514.25999999966
"ALFREDO NASCIMENTO",360736.14999999997
"ALFREDO SIRKIS",29292.13
"ALICE PORTUGAL",442308.33999999997
"ALIEL MACHADO",252088.47
"ALINE CORRÊA",32707.32
"ALMEIDA LIMA",36655.20999999999
"ALTINEU CÔRTES",349409.14999999997
"ALUISIO MENDES",408663.63999999984
"AMAURI TEIXEIRA",31862.719999999998
"AMIR LANDO",26599.15
"ANA PERUGINI",387702.98
"ANDERSON FERREIRA",497038.55999999994
"ANDRE MOURA",474907.2300000001
"ANDREIA ZITO",8014.849999999999
"ANDRES SANCHEZ",267438.46
"ANDRÉ ABDON",466135.28
"ANDRÉ DE PAULA",11521.96
"ANDRÉ FIGUEIREDO",358309.1599999999
"ANDRÉ FUFUCA",459530.36
"ANDRÉ ZACHAROW",32895.45
"ANGELA ALBINO",80837.95000000001
"ANGELIM",366936.0300000001
"ANGELO VANHONI",27801.38
"ANSELMO DE JESUS",23910.97
"ANTHONY GAROTINHO",12037.529999999999
"ANTONIO BALHMANN",278437.9199999999
"ANTONIO BRITO",340830.53
"ANTONIO BULHÕES",439248.01
"ANTONIO CARLOS MENDES THAME",291864.67999999993
"ANTONIO IMBASSAHY",402846.39999999973
"ANTÔNIA LÚCIA",42064.44999999999
"ANTÔNIO ANDRADE",-167.37
"ANTÔNIO JÁCOME",457844.36999999976
"ANÍBAL GOMES",492890.07999999984
"ARIOSTO HOLANDA",141634.12000000002
"ARLINDO CHINAGLIA",417888.76
"ARMANDO VERGÍLIO",31634.98
"ARNALDO FARIA DE SÁ",394355.6000000001
"ARNALDO JARDIM",3194.1
"ARNALDO JORDY",508400.8400000001
"ARNON BEZERRA",494211.95
"AROLDE DE OLIVEIRA",29997.79
"ARTHUR LIRA",354921.98999999993
"ARTHUR OLIVEIRA MAIA",443652.2999999998
"ARTHUR VIRGÍLIO BISNETO",428969.57999999984
"ARTUR BRUNO",233.92000000000002
"ASSIS CARVALHO",475594.0399999998
"ASSIS DO COUTO",447612.0199999999
"ASSIS MELO",37538.020000000004
"AUGUSTO CARVALHO",329706.56999999995
"AUGUSTO COUTINHO",481390.0999999997
"AUREO",427633.5399999997
"BACELAR",430427.2099999999
"BALEIA ROSSI",342587.7300000001
"BEBETO",442773.0399999998
"BENEDITA DA SILVA",409914.3199999994
"BENITO GAMA",416089.92999999993
"BENJAMIN MARANHÃO",404124.35
"BERINHO BANTIM",40766.53999999999
"BERNARDO SANTANA DE VASCONCELLOS",11897.49
"BETINHO GOMES",445424.33999999985
"BETINHO ROSADO",39996.740000000005
"BETO ALBUQUERQUE",17840.79
"BETO FARO",478175.2799999996
"BETO MANSUR",316913.02999999985
"BETO ROSADO",470820.8499999996
"BETO SALAME",453961.5199999996
"BIFFI",26630.02
"BILAC PINTO",418710.76
"BOHN GASS",469029.74999999965
"BONIFÁCIO DE ANDRADA",414724.12000000005
"BRUNA FURLAN",434391.03999999946
"BRUNNY",388355.1
"BRUNO ARAÚJO",463997.54999999946
"BRUNO COVAS",285767.4
"BRUNO RODRIGUES",15291.19
"CABO DACIOLO",381367.1099999997
"CABO SABINO",450676.41999999987
"CABUÇU BORGES",462263.5599999997
"CACÁ LEÃO",432598.8899999997
"CAETANO",411655.4999999998
"CAIO NARCIO",383026.9199999998
"CAMILO COLA",0.62
"CAPITÃO AUGUSTO",401386.42999999993
"CAPITÃO FÁBIO ABREU",16897.800000000003
"CARLOS ALBERTO LERÉIA",31766.26
"CARLOS ANDRADE",480778.7200000001
"CARLOS BEZERRA",452604.13999999996
"CARLOS EDUARDO CADOCA",439133.7399999997
"CARLOS GOMES",320355.17999999993
"CARLOS HENRIQUE GAGUIM",429831.9299999998
"CARLOS MAGNO",40063.030000000006
"CARLOS MANATO",430803.20000000007
"CARLOS MARTINS",38103.37
"CARLOS MARUN",443983.74
"CARLOS MELLES",431018.49999999994
"CARLOS SAMPAIO",409452.02999999933
"CARLOS ZARATTINI",436201.44000000006
"CARMEN ZANOTTO",313053.62
"CELSO JACOB",350782.1899999997
"CELSO MALDANER",451856.52999999997
"CELSO PANSERA",184489.65999999997
"CELSO RUSSOMANNO",180189.67000000007
"CESAR SOUZA",214952.09999999998
"CEZAR SILVESTRI",67.54
"CHICO ALENCAR",312757.2699999999
"CHICO D'ANGELO",375744.0199999999
"CHICO DAS VERDURAS",43349.82
"CHICO LOPES",501288.15999999945
"CHRISTIANE DE SOUZA YARED",332655.96
"CLARISSA GAROTINHO",387309.5599999996
"CLAUDIO CAJADO",397990.6100000002
"CLEBER VERDE",491819.52999999997
"CLÁUDIO PUTY",34571.64000000001
"CONCEIÇÃO SAMPAIO",193951.58000000002
"COVATTI FILHO",453454.0399999996
"CRISTIANE BRASIL",385856.23999999976
"CÂNDIDO VACCAREZZA",30462.82
"CÉLIO SILVEIRA",375161.82000000007
"CÉSAR HALUM",474519.1100000001
"CÉSAR MESSIAS",410851.74999999977
"CÍCERO ALMEIDA",275120.35000000003
"DAGOBERTO",435976.1600000001
"DALVA FIGUEIREDO",39651.18
"DAMIÃO FELICIANO",363954.14999999997
"DANIEL ALMEIDA",443323.75999999995
"DANIEL COELHO",421389.5199999998
"DANIEL VILELA",383984.1799999999
"DANILO CABRAL",2218.8199999999997
"DANILO FORTE",499874.7399999998
"DANRLEI DE DEUS HINTERHOLZ",396717.37
"DARCÍSIO PERONDI",326032.20999999985
"DAVI ALCOLUMBRE",35997.75
"DAVI ALVES SILVA JÚNIOR",38051.18
"DAVIDSON MAGALHÃES",410588.01999999984
"DELEGADO EDSON MOREIRA",386380.6899999999
"DELEGADO PROTÓGENES",23334.5
"DELEGADO WALDIR",17895.449999999997
"DELEGADO ÉDER MAURO",452147.3899999996
"DELEY",379363.22999999986
"DENILSON TEIXEIRA",31330.350000000002
"DEOCLIDES MACEDO",52051.399999999994
"DEVANIR RIBEIRO",29678.440000000002
"DIEGO ANDRADE",394608.77999999997
"DIEGO GARCIA",393212.2
"DILCEU SPERAFICO",373568.0
"DIMAS FABIANO",365991.1900000005
"DOMINGOS DUTRA",35779.02
"DOMINGOS NETO",499886.5599999998
"DOMINGOS SÁVIO",417832.62999999995
"DR. ADILSON SOARES",32717.499999999996
"DR. CARLOS ALBERTO",27526.170000000002
"DR. GRILO",23838.62
"DR. JORGE SILVA",365991.9200000001
"DR. JOÃO",380686.5399999997
"DR. LUIZ FERNANDO",37317.67
"DR. PAULO CÉSAR",32684.679999999997
"DR. ROSINHA",9024.400000000001
"DR. SINVAL MALHEIROS",433947.94000000006
"DR. UBIALI",16049.35
"DRA. ELAINE ABISSAMRA",18497.6
"DUARTE NOGUEIRA",1162.1699999999994
"DUDIMAR PAXIUBA",15010.470000000001
"DULCE MIRANDA",405635.6300000001
"DÂMINA PEREIRA",379540.3299999999
"DÉCIO LIMA",457653.12999999995
"EDINHO ARAÚJO",104176.51
"EDINHO BEZ",438511.27
"EDIO LOPES",537204.8799999999
"EDMAR ARRUDA",460959.5599999998
"EDMILSON RODRIGUES",445731.25999999966
"EDSON EZEQUIEL",1473.3700000000001
"EDSON PIMENTA",37222.5
"EDSON SANTOS",31415.829999999998
"EDSON SILVA",34302.479999999996
"EDUARDO BARBOSA",427484.6299999998
"EDUARDO BOLSONARO",332825.57999999996
"EDUARDO CUNHA",380003.96000000014
"EDUARDO CURY",302282.10999999987
"EDUARDO DA FONTE",210095.22
"EDUARDO GOMES",32135.61
"EDUARDO SCIARRA",8083.21
"EFRAIM FILHO",495869.77000000014
"ELCIONE BARBALHO",487973.81000000006
"ELEUSES PAIVA",34391.96
"ELI CORRÊA FILHO",432458.3299999994
"ELIENE LIMA",32016.640000000003
"ELISEU PADILHA",-1487.52
"ELIZEU DIONIZIO",429755.23
"ELIZIANE GAMA",369591.8099999997
"ELMAR NASCIMENTO",415403.98999999964
"EMANUEL FERNANDES",8817.220000000001
"EMILIANO JOSÉ",29637.120000000003
"ENIO BACCI",36728.2
"ENIO VERRI",414012.30999999965
"ERIKA KOKAY",183429.97999999998
"ERIVELTON SANTANA",376765.67
"EROS BIONDINI",406142.2100000001
"ESPERIDIÃO AMIN",343854.5299999996
"EUDES XAVIER",35420.870000000024
"EURICO JÚNIOR",34491.44
"EVAIR VIEIRA DE MELO",394907.18000000017
"EVANDRO GUSSI",394600.65000000014
"EVANDRO MILHOMEN",40249.88999999999
"EVANDRO ROMAN",413771.48999999993
"EXPEDITO NETTO",469048.18999999977
"EZEQUIEL FONSECA",426899.02999999985
"EZEQUIEL TEIXEIRA",362625.8699999998
"FABIANO HORTA",107848.05000000002
"FABIO GARCIA",253416.13999999993
"FABIO REIS",459987.89000000036
