"congressperson_name","subquota_description","x1"
"ABEL MESQUITA JR.","Automotive vehicle renting or charter",29340.9
"ABEL MESQUITA JR.","Congressperson meal",234.72
"ABEL MESQUITA JR.","Consultancy, research and technical work",209000.0
"ABEL MESQUITA JR.","Flight ticket issue",86290.64999999998
"ABEL MESQUITA JR.","Flight tickets",1926.98
"ABEL MESQUITA JR.","Fuels and lubricants",21898.790000000005
"ABEL MESQUITA JR.","Maintenance of office supporting parliamentary activity",859.39
"ABEL MESQUITA JR.","Postal services",257.15
"ABEL MESQUITA JR.","Publicity of parliamentary activity",80000.0
"ABEL MESQUITA JR.","Security service provided by specialized company",34000.0
"ABEL MESQUITA JR.","Taxi, toll and parking",21.7
"ABEL MESQUITA JR.","Telecommunication",12335.609999999999
"ABEL MESQUITA JR.","Watercraft renting or charter",9500.0
"ABELARDO CAMARINHA","Fuels and lubricants",2033.13
"ABELARDO CAMARINHA","Lodging, except for congressperson from Distrito Federal",283.0
"ABELARDO CAMARINHA","Postal services",432.4
"ABELARDO CAMARINHA","Publicity of parliamentary activity",30000.0
"ABELARDO CAMARINHA","Telecommunication",611.11
"ABELARDO LUPION","Flight ticket issue",2070.5
"ABELARDO LUPION","Postal services",203.15
"ABELARDO LUPION","Publicity of parliamentary activity",29964.0
"ABELARDO LUPION","Telecommunication",611.2
"ACELINO POPÓ","Consultancy, research and technical work",10500.0
"ACELINO POPÓ","Flight ticket issue",1820.57
"ACELINO POPÓ","Maintenance of office supporting parliamentary activity",2750.0
"ACELINO POPÓ","Postal services",969.8000000000001
"ACELINO POPÓ","Publicity of parliamentary activity",18000.0
"ACELINO POPÓ","Telecommunication",199.76999999999998
"ADAIL CARNEIRO","Aircraft renting or charter of aircraft",40200.0
"ADAIL CARNEIRO","Automotive vehicle renting or charter",85360.0
"ADAIL CARNEIRO","Congressperson meal",5079.420000000001
"ADAIL CARNEIRO","Consultancy, research and technical work",51000.0
"ADAIL CARNEIRO","Flight ticket issue",78104.54000000001
"ADAIL CARNEIRO","Fuels and lubricants",35942.31999999999
"ADAIL CARNEIRO","Maintenance of office supporting parliamentary activity",5116.7
"ADAIL CARNEIRO","Postal services",1759.2800000000002
"ADAIL CARNEIRO","Publicity of parliamentary activity",78500.0
"ADAIL CARNEIRO","Taxi, toll and parking",307.0
"ADAIL CARNEIRO","Telecommunication",8001.7
"ADALBERTO CAVALCANTI","Automotive vehicle renting or charter",108900.0
"ADALBERTO CAVALCANTI","Congressperson meal",1067.1100000000001
"ADALBERTO CAVALCANTI","Consultancy, research and technical work",105050.0
"ADALBERTO CAVALCANTI","Flight ticket issue",65280.969999999994
"ADALBERTO CAVALCANTI","Fuels and lubricants",49995.149999999994
"ADALBERTO CAVALCANTI","Maintenance of office supporting parliamentary activity",50700.0
"ADALBERTO CAVALCANTI","Postal services",3081.46
"ADALBERTO CAVALCANTI","Publicity of parliamentary activity",35800.0
"ADALBERTO CAVALCANTI","Telecommunication",27357.79
"ADELMO CARNEIRO LEÃO","Automotive vehicle renting or charter",65300.0
"ADELMO CARNEIRO LEÃO","Congressperson meal",3283.5499999999997
"ADELMO CARNEIRO LEÃO","Consultancy, research and technical work",45000.0
"ADELMO CARNEIRO LEÃO","Flight ticket issue",66480.32000000002
