"state","month","value"
NA,1,12364.24
NA,2,20563.5
NA,3,34378.880000000005
NA,4,48934.73
NA,5,52844.46
NA,6,48746.32000000001
NA,7,42313.94
NA,8,44409.27
NA,9,40228.06
NA,10,48832.7
NA,11,54797.41
NA,12,32188.86
"AC",1,280882.9599999999
"AC",2,188160.87000000002
"AC",3,274299.15
"AC",4,265758.2
"AC",5,285756.92999999993
"AC",6,360052.0299999999
"AC",7,295276.41
"AC",8,300571.49
"AC",9,383144.83999999997
"AC",10,315842.64
"AC",11,312396.88000000006
"AC",12,424453.6199999999
"AL",1,228809.47999999998
"AL",2,239938.45
"AL",3,282307.9099999999
"AL",4,337571.5399999999
"AL",5,278980.05
"AL",6,256343.78999999998
"AL",7,309622.80999999994
"AL",8,365668.57999999996
"AL",9,294959.7900000001
"AL",10,270429.86000000004
"AL",11,227352.38000000006
"AL",12,701555.1
"AM",1,230328.37
"AM",2,177910.53999999998
"AM",3,296694.28
"AM",4,212538.32
"AM",5,292590.89
"AM",6,254205.38
"AM",7,280998.31000000006
"AM",8,309615.0900000001
"AM",9,374781.63999999996
"AM",10,361552.74
"AM",11,317510.65
"AM",12,340923.17000000004
"AP",1,301621.09
"AP",2,248068.87999999998
"AP",3,302506.24
"AP",4,348803.62
"AP",5,368853.83
"AP",6,325838.45999999996
"AP",7,430883.74
"AP",8,332469.70000000007
"AP",9,371794.81
"AP",10,382556.83
"AP",11,301032.26
"AP",12,181635.66000000003
"BA",1,971436.1200000002
"BA",2,975497.8999999997
"BA",3,1.4994092499999998e6
"BA",4,1.2577269499999997e6
"BA",5,1.3820902999999998e6
"BA",6,1.4746269699999997e6
"BA",7,1.39588151e6
"BA",8,1.46060956e6
"BA",9,1.3467427100000002e6
"BA",10,1.40254486e6
"BA",11,1.50332512e6
"BA",12,1.8185110699999998e6
"CE",1,687271.28
"CE",2,659820.2300000002
"CE",3,877338.9999999998
"CE",4,866621.3999999999
"CE",5,842588.9699999996
"CE",6,884525.3899999997
"CE",7,937727.8899999999
"CE",8,871368.2499999998
"CE",9,941614.1299999999
"CE",10,846238.23
"CE",11,842726.15
"CE",12,837911.81
"DF",1,75664.44
"DF",2,148633.25
"DF",3,156097.84000000003
"DF",4,214574.91000000003
"DF",5,151255.66
"DF",6,238544.5
"DF",7,187037.76
"DF",8,230471.02000000002
"DF",9,204306.8
"DF",10,203070.29999999996
"DF",11,211061.69
"DF",12,343513.5199999999
"ES",1,181955.39999999997
"ES",2,242297.36999999997
"ES",3,318919.3699999999
"ES",4,323072.17
"ES",5,302555.02
"ES",6,262716.6599999999
"ES",7,306821.04000000004
"ES",8,368888.05999999994
"ES",9,289157.9800000001
"ES",10,329213.2200000001
"ES",11,344398.65
"ES",12,555778.86
"GO",1,446461.83
"GO",2,359109.23
"GO",3,531550.0200000001
"GO",4,467032.88999999984
"GO",5,552738.7899999999
"GO",6,581386.89
"GO",7,526130.2
"GO",8,527377.4400000001
"GO",9,517320.79
"GO",10,525494.1799999999
"GO",11,497780.01
"GO",12,445571.9899999998
"MA",1,505056.11
"MA",2,485261.6599999999
"MA",3,642896.0499999998
"MA",4,801919.12
"MA",5,679211.3199999998
"MA",6,710310.4999999999
"MA",7,720600.7
"MA",8,685587.6600000001
"MA",9,779703.0499999999
"MA",10,781790.26
"MA",11,785282.0000000003
"MA",12,748066.6799999999
"MG",1,1.1790653599999999e6
"MG",2,1.3569729899999995e6
"MG",3,1.7205974199999995e6
"MG",4,1.73440267e6
"MG",5,1.8273959099999997e6
"MG",6,1.7528205299999996e6
"MG",7,1.6320205299999996e6
"MG",8,1.94564362e6
"MG",9,1.7888995100000002e6
"MG",10,1.85502606e6
"MG",11,1.8851920600000005e6
"MG",12,2.381189400000001e6
"MS",1,202681.79
"MS",2,214808.33
"MS",3,267938.05999999994
"MS",4,275782.1599999999
"MS",5,343690.82999999996
"MS",6,316496.4099999999
"MS",7,303891.54999999993
"MS",8,343083.04999999993
"MS",9,375192.64
"MS",10,373853.95
"MS",11,347431.38
"MS",12,249274.33000000005
"MT",1,219303.51999999996
"MT",2,214747.25000000003
"MT",3,279154.1499999999
"MT",4,289039.3699999999
"MT",5,297197.74
"MT",6,344409.98999999993
"MT",7,309375.98
"MT",8,266625.7699999999
"MT",9,291026.32000000007
"MT",10,267352.38999999996
"MT",11,232181.40000000002
"MT",12,257774.10000000003
"PA",1,454166.69999999995
"PA",2,508767.6699999997
"PA",3,609750.9999999999
"PA",4,541908.6199999996
"PA",5,704326.5299999998
"PA",6,715684.54
"PA",7,713314.3299999997
"PA",8,704153.15
"PA",9,828235.5300000004
"PA",10,736386.7400000006
"PA",11,597083.06
"PA",12,805878.7399999998
"PB",1,390608.81
"PB",2,416444.76999999967
"PB",3,361752.7499999999
"PB",4,376885.82
"PB",5,433542.63999999996
"PB",6,336713.62999999995
"PB",7,346895.24
"PB",8,413153.22000000003
"PB",9,469002.2100000002
"PB",10,449707.1000000001
"PB",11,607453.43
"PB",12,633730.4699999997
"PE",1,620677.65
"PE",2,774271.4899999998
"PE",3,893263.3399999996
"PE",4,830205.3999999999
"PE",5,1.0750428299999996e6
"PE",6,971927.3999999997
"PE",7,894754.5900000001
